;cod_modelo_color;cod_color_code;des_agrup_color_eng;des_fabric;des_product_category;des_product_family
0;41085800-02;02;WHITE;P-PLANA;Bottoms;Trousers
1;53000586-TO;TO;BLUE;J-JEANS;Bottoms;Jeans
2;53030601-81;81;PINK;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
3;53050730-15;15;YELLOW;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
4;53070773-70;70;RED;P-PLANA;Tops;Shirt
5;53003736-94;94;GREY;T-TRICOT;Tops;Sweater
6;53045718-17;17;YELLOW;T-TRICOT;Tops;Sweater
7;53050926-37;37;BROWN;P-PLANA;Bottoms;Skirts
8;53015770-02;02;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses
9;57007891-05;05;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery
10;57064001-02;02;WHITE;J-JEANS;Bottoms;Jeans
11;47086303-08;08;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
12;57040032-32;32;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Glasses
13;57040164-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Wallets & cases
14;57050281-TM;TM;BLUE;J-JEANS;Bottoms;Shorts
15;57062516-99;99;GREY;T-TRICOT;Tops;Tops
16;57012888-12;12;YELLOW;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
17;57084018-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties
18;57085800-01;01;WHITE;P-PLANA;Tops;Shirt
19;57004787-07;07;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags
20;57083821-99;99;GREY;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
21;57049096-65;65;PURPLE;P-PLANA;Dresses, jumpsuits and Complete set;Jumpsuit
22;57099098-05;05;WHITE;T-TRICOT;Tops;Tops
23;57067753-TO;TO;BLUE;J-JEANS;Outerwear;Jackets
24;57079104-37;37;BROWN;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses
25;57057741-30;30;BROWN;L-PIEL;Outerwear;Coats
26;43031153-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Belts and Ties
