;cod_modelo_color;cod_color_code;des_agrup_color_eng;des_fabric;des_product_category;des_product_family;des_filename
0;41085800-02;02;WHITE;P-PLANA;Bottoms;Trousers;datathon/images/2019_41085800_02.jpg
1;53000586-TO;TO;BLUE;J-JEANS;Bottoms;Jeans;datathon/images/2019_53000586_TO.jpg
2;53030601-81;81;PINK;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_53030601_81.jpg
3;53050730-15;15;YELLOW;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_53050730_15.jpg
4;53070773-70;70;RED;P-PLANA;Tops;Shirt;datathon/images/2019_53070773_70.jpg
5;53003736-94;94;GREY;T-TRICOT;Tops;Sweater;datathon/images/2019_53003736_94.jpg
6;53045718-17;17;YELLOW;T-TRICOT;Tops;Sweater;datathon/images/2019_53045718_17.jpg
7;53050926-37;37;BROWN;P-PLANA;Bottoms;Skirts;datathon/images/2019_53050926_37.jpg
8;53015770-02;02;WHITE;P-PLANA;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2019_53015770_02.jpg
9;57007891-05;05;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Jewellery;datathon/images/2019_57007891_05.jpg
10;57064001-02;02;WHITE;J-JEANS;Bottoms;Jeans;datathon/images/2019_57064001_02.jpg
11;47086303-08;08;WHITE;C-COMPLEMENTOS;Accesories, Swim and Intimate;Bags;datathon/images/2023_47086303_08.jpg
12;57040032-32;32;BROWN;C-COMPLEMENTOS;Accesories, Swim and Intimate;Glasses;datathon/images/2023_57040032_32.jpg
13;57040164-99;99;GREY;C-COMPLEMENTOS;Accesories, Swim and Intimate;Wallets & cases;datathon/images/2023_57040164_99.jpg
14;57050281-TM;TM;BLUE;J-JEANS;Bottoms;Shorts;datathon/images/2023_57050281_TM.jpg
15;57062516-99;99;GREY;T-TRICOT;Tops;Tops;datathon/images/2023_57062516_99.jpg
16;57012888-12;12;YELLOW;K-CIRCULAR;Dresses, jumpsuits and Complete set;Dresses;datathon/images/2023_57012888_12.jpg
